,Risk_Cluster,Cluster_Numeric
0,Low-Risk,1
1,Low-Risk,1
2,Low-Risk,1
3,High-Risk,0
4,High-Risk,0
5,High-Risk,0
6,Low-Risk,1
7,Low-Risk,1
8,High-Risk,0
9,High-Risk,0
10,Low-Risk,1
11,Low-Risk,1
12,Low-Risk,1
13,Low-Risk,1
14,High-Risk,0
15,High-Risk,0
16,Low-Risk,1
17,High-Risk,0
18,Low-Risk,1
19,Low-Risk,1
20,High-Risk,0
21,Low-Risk,1
22,High-Risk,0
23,Low-Risk,1
24,Low-Risk,1
25,Low-Risk,1
26,Low-Risk,1
27,Low-Risk,1
28,Low-Risk,1
29,Low-Risk,1
30,Low-Risk,1
32,Low-Risk,1
33,Low-Risk,1
34,Low-Risk,1
35,Low-Risk,1
36,Low-Risk,1
37,High-Risk,0
38,High-Risk,0
39,Low-Risk,1
40,Low-Risk,1
41,Low-Risk,1
42,Low-Risk,1
43,High-Risk,0
44,Low-Risk,1
45,Low-Risk,1
46,Low-Risk,1
47,Low-Risk,1
48,High-Risk,0
49,Low-Risk,1
50,Low-Risk,1
51,High-Risk,0
52,Low-Risk,1
53,Low-Risk,1
54,Low-Risk,1
55,High-Risk,0
56,Low-Risk,1
57,Low-Risk,1
58,Low-Risk,1
59,Low-Risk,1
60,High-Risk,0
62,Low-Risk,1
63,Low-Risk,1
64,High-Risk,0
65,High-Risk,0
66,High-Risk,0
67,Low-Risk,1
68,Low-Risk,1
69,Low-Risk,1
70,High-Risk,0
71,Low-Risk,1
72,Low-Risk,1
73,Low-Risk,1
75,Low-Risk,1
76,High-Risk,0
77,High-Risk,0
78,Low-Risk,1
79,Low-Risk,1
80,High-Risk,0
81,High-Risk,0
82,High-Risk,0
83,Low-Risk,1
84,High-Risk,0
85,High-Risk,0
86,High-Risk,0
87,Low-Risk,1
88,Low-Risk,1
89,Low-Risk,1
90,Low-Risk,1
91,Low-Risk,1
92,Low-Risk,1
93,Low-Risk,1
95,Low-Risk,1
96,Low-Risk,1
97,Low-Risk,1
98,Low-Risk,1
99,Low-Risk,1
100,Low-Risk,1
102,Low-Risk,1
103,High-Risk,0
105,High-Risk,0
106,Low-Risk,1
107,Low-Risk,1
108,Low-Risk,1
109,High-Risk,0
110,High-Risk,0
111,Low-Risk,1
112,Low-Risk,1
113,Low-Risk,1
114,Low-Risk,1
115,Low-Risk,1
116,Low-Risk,1
117,High-Risk,0
118,High-Risk,0
119,Low-Risk,1
120,Low-Risk,1
121,High-Risk,0
122,Low-Risk,1
123,Low-Risk,1
124,Low-Risk,1
125,Low-Risk,1
126,Low-Risk,1
127,Low-Risk,1
128,Low-Risk,1
129,High-Risk,0
130,High-Risk,0
131,Low-Risk,1
132,High-Risk,0
133,Low-Risk,1
134,Low-Risk,1
135,Low-Risk,1
137,Low-Risk,1
138,High-Risk,0
139,High-Risk,0
140,Low-Risk,1
141,Low-Risk,1
142,Low-Risk,1
143,Low-Risk,1
144,Low-Risk,1
145,High-Risk,0
146,Low-Risk,1
147,Low-Risk,1
148,Low-Risk,1
149,Low-Risk,1
150,Low-Risk,1
151,High-Risk,0
152,Low-Risk,1
153,Low-Risk,1
154,Low-Risk,1
155,High-Risk,0
156,Low-Risk,1
157,High-Risk,0
158,Low-Risk,1
159,Low-Risk,1
160,High-Risk,0
161,Low-Risk,1
162,Low-Risk,1
163,Low-Risk,1
164,Low-Risk,1
165,Low-Risk,1
166,High-Risk,0
167,Low-Risk,1
168,Low-Risk,1
169,High-Risk,0
170,High-Risk,0
172,Low-Risk,1
173,Low-Risk,1
174,Low-Risk,1
175,Low-Risk,1
176,Low-Risk,1
177,Low-Risk,1
178,Low-Risk,1
179,Low-Risk,1
181,Low-Risk,1
182,Low-Risk,1
183,Low-Risk,1
184,High-Risk,0
185,Low-Risk,1
186,Low-Risk,1
187,Low-Risk,1
188,Low-Risk,1
191,High-Risk,0
192,Low-Risk,1
193,Low-Risk,1
194,High-Risk,0
195,Low-Risk,1
196,Low-Risk,1
197,High-Risk,0
198,Low-Risk,1
199,Low-Risk,1
200,High-Risk,0
201,High-Risk,0
202,Low-Risk,1
203,Low-Risk,1
204,Low-Risk,1
205,Low-Risk,1
206,Low-Risk,1
207,High-Risk,0
208,High-Risk,0
209,Low-Risk,1
210,High-Risk,0
211,High-Risk,0
212,Low-Risk,1
213,Low-Risk,1
214,High-Risk,0
215,Low-Risk,1
216,Low-Risk,1
217,Low-Risk,1
218,Low-Risk,1
219,Low-Risk,1
220,High-Risk,0
221,Low-Risk,1
223,High-Risk,0
224,Low-Risk,1
226,Low-Risk,1
227,Low-Risk,1
228,Low-Risk,1
229,High-Risk,0
230,Low-Risk,1
231,High-Risk,0
232,Low-Risk,1
233,High-Risk,0
234,Low-Risk,1
235,Low-Risk,1
236,Low-Risk,1
237,Low-Risk,1
238,High-Risk,0
239,High-Risk,0
240,High-Risk,0
241,Low-Risk,1
242,High-Risk,0
243,Low-Risk,1
244,High-Risk,0
245,Low-Risk,1
246,High-Risk,0
247,Low-Risk,1
248,Low-Risk,1
249,Low-Risk,1
250,Low-Risk,1
251,Low-Risk,1
252,Low-Risk,1
253,Low-Risk,1
254,Low-Risk,1
255,Low-Risk,1
256,Low-Risk,1
257,Low-Risk,1
258,Low-Risk,1
259,Low-Risk,1
260,Low-Risk,1
261,High-Risk,0
262,High-Risk,0
263,Low-Risk,1
264,Low-Risk,1
265,Low-Risk,1
266,High-Risk,0
267,Low-Risk,1
268,Low-Risk,1
269,Low-Risk,1
271,Low-Risk,1
272,High-Risk,0
273,Low-Risk,1
274,High-Risk,0
276,Low-Risk,1
277,Low-Risk,1
278,Low-Risk,1
279,Low-Risk,1
280,Low-Risk,1
281,High-Risk,0
282,Low-Risk,1
283,Low-Risk,1
284,Low-Risk,1
285,Low-Risk,1
